"SkillName","ArchivePath","EntryPath","Category","Classification","DuplicateAssessment","CanonicalPath","TestOnly","Notes"
"faceless-explainer","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/html-video-production/references/faceless-explainer/SKILL.md","import-adaptation-required","exported-nested-reference","no live canonical name match","","No","Nested reference package inside html-video-production; do not promote independently without review."
"figma","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/html-video-production/references/figma/SKILL.md","import-adaptation-required","exported-nested-reference","no live canonical name match","","No","Nested reference package inside html-video-production; do not promote independently without review."
"general-video","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/html-video-production/references/general-video/SKILL.md","import-adaptation-required","exported-nested-reference","no live canonical name match","","No","Nested reference package inside html-video-production; do not promote independently without review."
"hyperframes-animation","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/html-video-production/references/hyperframes-animation/SKILL.md","import-adaptation-required","exported-nested-reference","no live canonical name match","","No","Nested reference package inside html-video-production; do not promote independently without review."
"hyperframes-cli","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/html-video-production/references/hyperframes-cli/SKILL.md","import-adaptation-required","exported-nested-reference","no live canonical name match","","No","Nested reference package inside html-video-production; do not promote independently without review."
"hyperframes-core","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/html-video-production/references/hyperframes-core/SKILL.md","import-adaptation-required","exported-nested-reference","no live canonical name match","","No","Nested reference package inside html-video-production; do not promote independently without review."
"hyperframes-creative","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/html-video-production/references/hyperframes-creative/SKILL.md","import-adaptation-required","exported-nested-reference","no live canonical name match","","No","Nested reference package inside html-video-production; do not promote independently without review."
"hyperframes-keyframes","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/html-video-production/references/hyperframes-keyframes/SKILL.md","import-adaptation-required","exported-nested-reference","no live canonical name match","","No","Nested reference package inside html-video-production; do not promote independently without review."
"hyperframes-registry","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/html-video-production/references/hyperframes-registry/SKILL.md","import-adaptation-required","exported-nested-reference","no live canonical name match","","No","Nested reference package inside html-video-production; do not promote independently without review."
"hyperframes","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/html-video-production/references/hyperframes/SKILL.md","import-adaptation-required","exported-nested-reference","no live canonical name match","","No","Nested reference package inside html-video-production; do not promote independently without review."
"media-use","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/html-video-production/references/media-use/SKILL.md","import-adaptation-required","exported-nested-reference","no live canonical name match","","No","Nested reference package inside html-video-production; do not promote independently without review."
"motion-graphics","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/html-video-production/references/motion-graphics/SKILL.md","import-adaptation-required","exported-nested-reference","no live canonical name match","","No","Nested reference package inside html-video-production; do not promote independently without review."
"music-to-video","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/html-video-production/references/music-to-video/SKILL.md","import-adaptation-required","exported-nested-reference","no live canonical name match","","No","Nested reference package inside html-video-production; do not promote independently without review."
"pr-to-video","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/html-video-production/references/pr-to-video/SKILL.md","import-adaptation-required","exported-nested-reference","no live canonical name match","","No","Nested reference package inside html-video-production; do not promote independently without review."
"product-launch-video","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/html-video-production/references/product-launch-video/SKILL.md","import-adaptation-required","exported-nested-reference","no live canonical name match","","No","Nested reference package inside html-video-production; do not promote independently without review."
"remotion-to-hyperframes","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/html-video-production/references/remotion-to-hyperframes/SKILL.md","import-adaptation-required","exported-nested-reference","no live canonical name match","","No","Nested reference package inside html-video-production; do not promote independently without review."
"slideshow","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/html-video-production/references/slideshow/SKILL.md","import-adaptation-required","exported-nested-reference","no live canonical name match","","No","Nested reference package inside html-video-production; do not promote independently without review."
"talking-head-recut","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/html-video-production/references/talking-head-recut/SKILL.md","import-adaptation-required","exported-nested-reference","no live canonical name match","","No","Nested reference package inside html-video-production; do not promote independently without review."
"html-video-production","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/html-video-production/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"internet-skill-finder","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/internet-skill-finder/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"keyword-research","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/keyword-research/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"listicle-blog-writer","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/listicle-blog-writer/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"manim-animator","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/manim-animator/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"manus-pptx","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/manus-pptx/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"seo-audit","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/seo-audit/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"seo-competitor-analysis","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/seo-competitor-analysis/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"similarweb-analytics","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/similarweb-analytics/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"stock-analysis","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/stock-analysis/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"webdev-custom-dockerfile","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/webdev-custom-dockerfile/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"webdev-data-api","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/webdev-data-api/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"webdev-file-storage","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/webdev-file-storage/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"webdev-image-generation","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/webdev-image-generation/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"webdev-llm-integration","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/webdev-llm-integration/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"webdev-manus-oauth","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/webdev-manus-oauth/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"webdev-maps-integration","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/webdev-maps-integration/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"webdev-owner-notifications","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/webdev-owner-notifications/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"webdev-periodic-updates","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/webdev-periodic-updates/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"webdev-readme-fullstack","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/webdev-readme-fullstack/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"webdev-readme-mobile-backend","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/webdev-readme-mobile-backend/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"webdev-readme-mobile","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/webdev-readme-mobile/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"webdev-readme-static","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/webdev-readme-static/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"webdev-ssr-conversion","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/webdev-ssr-conversion/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"webdev-voice-transcription","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/webdev-voice-transcription/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"website-traffic-checker","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/website-traffic-checker/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"automation-and-scheduling","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/portable/automation-and-scheduling/SKILL.md","import-portable","exported-candidate","no live canonical name match","","No","Harvest labels this portable, but provenance/licensing and Codex compatibility still require review."
"builtin-llm-models","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/portable/builtin-llm-models/SKILL.md","import-portable","exported-candidate","no live canonical name match","","No","Harvest labels this portable, but provenance/licensing and Codex compatibility still require review."
"excel-generator","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/portable/excel-generator/SKILL.md","import-portable","exported-candidate","no live canonical name match","","No","Harvest labels this portable, but provenance/licensing and Codex compatibility still require review."
"github-gem-seeker","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/portable/github-gem-seeker/SKILL.md","import-portable","exported-candidate","no live canonical name match","","No","Harvest labels this portable, but provenance/licensing and Codex compatibility still require review."
"imagegen","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/portable/imagegen/SKILL.md","import-portable","exported-candidate","no live canonical name match","","No","Harvest labels this portable, but provenance/licensing and Codex compatibility still require review."
"manus-api","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/portable/manus-api/SKILL.md","import-portable","exported-candidate","no live canonical name match","","No","Harvest labels this portable, but provenance/licensing and Codex compatibility still require review."
"manus-config","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/portable/manus-config/SKILL.md","import-portable","exported-candidate","no live canonical name match","","No","Harvest labels this portable, but provenance/licensing and Codex compatibility still require review."
"music-prompter","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/portable/music-prompter/SKILL.md","import-portable","exported-candidate","no live canonical name match","","No","Harvest labels this portable, but provenance/licensing and Codex compatibility still require review."
"persistent-computing","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/portable/persistent-computing/SKILL.md","import-portable","exported-candidate","no live canonical name match","","No","Harvest labels this portable, but provenance/licensing and Codex compatibility still require review."
"project-sovereignty-organizer","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/portable/project-sovereignty-organizer/SKILL.md","import-portable","exported-candidate","no live canonical name match","","No","Harvest labels this portable, but provenance/licensing and Codex compatibility still require review."
"read-special-images","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/portable/read-special-images/SKILL.md","import-portable","exported-candidate","no live canonical name match","","No","Harvest labels this portable, but provenance/licensing and Codex compatibility still require review."
"skill-creator","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/portable/skill-creator/SKILL.md","import-portable","exported-candidate","no live canonical name match","","No","Harvest labels this portable, but provenance/licensing and Codex compatibility still require review."
"tts-prompter","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/portable/tts-prompter/SKILL.md","import-portable","exported-candidate","no live canonical name match","","No","Harvest labels this portable, but provenance/licensing and Codex compatibility still require review."
"typst-pdf-maker","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/portable/typst-pdf-maker/SKILL.md","import-portable","exported-candidate","no live canonical name match","","No","Harvest labels this portable, but provenance/licensing and Codex compatibility still require review."
"video-generator","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/portable/video-generator/SKILL.md","import-portable","exported-candidate","no live canonical name match","","No","Harvest labels this portable, but provenance/licensing and Codex compatibility still require review."
"youtube-video-research","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/portable/youtube-video-research/SKILL.md","import-portable","exported-candidate","no live canonical name match","","No","Harvest labels this portable, but provenance/licensing and Codex compatibility still require review."
